enc,codigo,cliente,descricao,quantidadeProducao,quantidadePicada,qrCode
ENC-A-2253422,A10ATPB400S0O99A,ESCOLA PROF. DESENV.RURAL ALTER DO CHÃO,Armário Portas Batentes (4) 100x44x185cm - [E](Me)Cinza Claro/[P](Me)Branco/7035,4,,
ENC-A-2253402,A10ERSPCR0S0Q47B,ESCOLA SECUNDÁRIA EÇA DE QUEIROZ,Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)623,10,,
ENC-A-2260082,A10ERSPCR0S0Q47B,EDUCHIADO LDA,Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)623,33,,
ENC-A-2260102,A10ERSPCR0S0Q47B,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)623,30,,
ENC-A-2260102,A10ERS4060S0X21A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Cadeira ERGOS SHELL 4 Pernas 49x53x46cm - (P)2169C/R7037,36,,
ENC-A-2260102,A10ERS4060S0X21A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Cadeira ERGOS SHELL 4 Pernas 49x53x46cm - (P)2169C/R7037,12,,
ENC-A-2260102,A10ERS4060S0X20A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Cadeira ERGOS SHELL 4 Pernas 49x53x46cm - (P)623/R7037,36,,
ENC-A-2260102,A10ERS4060S0X20A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Cadeira ERGOS SHELL 4 Pernas 49x53x46cm - (P)623/R7037,12,,
ENC-A-2253425,A10ERSPCR0S0R24B,ASSOCIAÇÃO DIOGO DE AZAMBUJA,Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)2169C,36,,
ENC-A-2260102,A10ERSPCR0S0R24B,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)2169C,30,,
